Data,Planta,Linha,Turno,Modelo,VIN,Pecas_Produzidas,Meta,Defeitos,Tempo_Parada_min,Operadores,Sucata_kg,Custo_R$
2025-06-24,Goiana,D,1,Sedan-W,VIN000002,558,551,8,3,14,"34,7","1119658,12"
2025-05-08,Goiana,B,1,SUV-X,VIN000003,575,608,6,23,10,"86,7","1770593,7"
2025-05-24,Goiana,C,3,Hatch-Y,VIN000004,506,498,5,27,13,"41,3","1271696,79"
2025-06-01,Porto Real,B,3,Sedan-W,VIN000005,477,489,4,75,20,"100,7","858854,54"
2025-06-23,Goiana,D,1,Sedan-W,VIN000006,511,485,4,42,10,"35,6","1080877,12"
2025-06-13,Betim,C,2,Hatch-Y,VIN000007,464,485,3,3,15,"38,9","1035717,9"
2025-01-08,Betim,C,2,Pickup-Z,VIN000008,433,422,13,36,16,"29,1","1280743,17"
2025-06-03,Goiana,D,3,Sedan-W,VIN000009,445,436,12,40,19,"31,4","1198480,26"
2025-06-08,Betim,B,3,Pickup-Z,VIN000010,494,481,8,77,9,"9,9","1562317,25"
2025-04-09,Porto Real,C,1,Hatch-Y,VIN000011,612,632,12,65,18,"100,3","1713269,43"
2025-03-09,Betim,C,1,Hatch-Y,VIN000012,491,463,14,30,14,"85,1","1199202,67"
2025-01-03,Goiana,B,2,Sedan-W,VIN000013,643,643,11,43,19,"85,6","1307769,72"
2025-05-08,Goiana,B,2,Hatch-Y,VIN000014,482,519,10,31,19,"63,2","993199,67"
2025-03-15,Porto Real,B,1,Hatch-Y,VIN000015,415,444,11,13,20,"6,1","1072898,7"
2025-01-17,Betim,B,2,SUV-X,VIN000016,631,637,4,37,9,"49,7","1763923,99"
2025-05-28,Betim,A,2,Pickup-Z,VIN000017,530,554,0,48,13,"20,6","1402001,62"
2025-05-24,Porto Real,C,2,SUV-X,VIN000018,647,634,15,57,10,"76,2","1931859,71"
2025-06-14,Porto Real,B,2,Hatch-Y,VIN000019,454,448,15,76,16,"27,8","1273368,94"
2025-06-08,Goiana,D,1,Hatch-Y,VIN000020,481,474,10,64,20,"84,1","1047282,26"
2025-04-07,Porto Real,B,2,Hatch-Y,VIN000021,580,582,4,83,11,"53,8","1555945,39"
2025-01-03,Goiana,B,1,SUV-X,VIN000022,619,592,7,36,12,"53,7","1721173,13"
2025-02-07,Porto Real,A,2,SUV-X,VIN000023,599,589,7,75,15,"110,2","1461785,23"
2025-03-08,Betim,C,1,Sedan-W,VIN000024,548,567,13,7,15,"77,1","1390970,77"
2025-05-20,Betim,C,3,Hatch-Y,VIN000025,614,591,14,69,17,"29,8","1828936,31"
2025-02-21,Betim,D,3,Hatch-Y,VIN000026,519,541,5,16,8,"55,2","1389208,59"
2025-02-14,Porto Real,A,1,Hatch-Y,VIN000027,580,559,3,17,11,"19,6","1056599,73"
